Timestamp,Serial_Number,Moisture(%),Temperature(C),EC,pH,Nitrogen,Phosphorus,Potassium,Air(COppm),Alerts
2026-03-31 19:24:32,SN-123456789,0,0,0,0,0,0,0,3.5,"⚠️ Low soil moisture: 0%,⚠️ Unbalanced pH: 0,⚠️ Extreme temperature: 0°C"
2026-03-24 09:59:52,UNKNOWN_SN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
2025-08-27 12:26:15,SN-ARDUINO-001,81.3,24.3,225,5.8,8,65,58,686,
2025-08-27 09:30:04,SN-ARDUINO-001,81.6,22.2,199,5.3,3,53,45,676,
2025-08-27 09:19:23,SN-ARDUINO-001,81.3,22,197,5.2,2,52,44,632,
2025-08-26 14:50:40,SN-ARDUINO-001,38.4,27.6,316,9,27,109,102,345,
2025-08-26 14:19:51,SN-123456789,44,23.3,579,6.5,82,236,230,70.7,
2025-08-26 13:50:52,SN-ARDUINO-001,59.7,27.3,390,9,42,145,138,679,
2025-08-26 13:50:49,SN-ARDUINO-001,59.7,27.3,390,9,42,145,138,679,
2025-08-26 13:40:18,SN-123456789,NULL,NULL,372,NULL,NULL,NULL,NULL,NULL,
2025-08-26 13:23:59,UNKNOWN_SN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
2025-08-26 12:34:07,UNKNOWN_SN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
2025-08-26 12:33:58,UNKNOWN_SN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
2025-08-26 12:20:27,SN-ARDUINO-001,38.1,28.2,331,6.2,30,116,109,751,
2025-08-26 12:18:24,SN-ARDUINO-001,37.7,28.2,324,6.3,29,113,106,712,
2025-08-26 12:17:56,SN-123456789,44,23.3,579,6.5,82,236,230,70.7,
2025-08-26 12:16:30,SN-ARDUINO-001,0,27.6,0,9,0,0,0,742,
2025-08-26 12:14:21,SN-ARDUINO-001,0,26.3,0,9,0,0,0,733,
2025-08-26 12:12:20,SN-ARDUINO-001,0,26.2,0,9,0,0,0,740,
2025-08-26 12:10:18,SN-ARDUINO-001,0,25.2,0,9,0,0,0,722,
2025-08-26 12:00:14,SN-ARDUINO-001,58.6,28.1,394,9,43,147,140,733,
2025-08-26 11:58:12,SN-ARDUINO-001,58.6,28.1,393,9,43,146,139,729,
2025-08-26 11:56:11,SN-ARDUINO-001,58.7,28.1,394,9,43,147,140,732,
2025-08-26 11:54:09,SN-ARDUINO-001,58.7,28.1,394,9,43,147,140,749,
2025-08-26 11:52:07,SN-ARDUINO-001,58.9,28.1,394,9,43,147,140,746,
2025-08-26 11:50:05,SN-ARDUINO-001,59.1,28,394,9,43,147,140,762,
2025-08-26 11:48:03,SN-ARDUINO-001,59.3,28,394,9,43,147,140,726,
2025-08-26 11:46:01,SN-ARDUINO-001,59.1,28,394,9,43,147,140,753,
2025-08-26 11:43:59,SN-ARDUINO-001,59.3,28,394,9,43,147,140,741,
2025-08-26 11:41:57,SN-ARDUINO-001,59.1,28,394,9,43,147,140,753,
2025-08-26 11:39:55,SN-ARDUINO-001,59.1,28,394,9,43,147,140,728,
2025-08-26 11:37:53,SN-ARDUINO-001,58.6,28,394,9,43,147,140,755,
2025-08-26 11:36:33,SN-123456789,NULL,NULL,372,NULL,NULL,NULL,NULL,NULL,
2025-08-26 11:36:33,SN-ARDUINO-001,59.7,27.3,390,9,42,145,138,679,
2025-08-26 11:35:54,UNKNOWN_SN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
2025-08-26 11:35:51,SN-ARDUINO-001,58.7,28,394,9,43,147,140,728,
